edge_id,geometry_wkt
4007,"LINESTRING (710030.346111 7072702.469278, 710033.963279 7072692.255869)"
4037,"LINESTRING (710074.707765 7072344.663692, 710078.305187 7072337.726921)"
4066,"LINESTRING (709757.93961 7073074.518205, 709762.117392 7073074.815279)"
4096,"LINESTRING (708843.109857 7074177.448907, 708837.195997 7074180.359572)"
4126,"LINESTRING (705438.243581 7060339.875085, 705396.5818 7060313.815663)"
4155,"LINESTRING (705585.306039 7057747.9837, 705548.664056 7057738.308829)"
4185,"LINESTRING (705749.204153 7057822.872594, 705754.991381 7057834.277532)"
4215,"LINESTRING (705860.719701 7058280.720936, 705923.512201 7058372.948991)"
4245,"LINESTRING (707847.670509 7056885.071133, 707822.176723 7056897.994273)"
4274,"LINESTRING (709662.369716 7055725.690887, 709654.070213 7055722.757262)"
4304,"LINESTRING (705135.398023 7061371.166451, 705136.672131 7061372.404519)"
4334,"LINESTRING (704095.435462 7062001.719887, 704086.483491 7061998.89408)"
4363,"LINESTRING (704797.241313 7061797.731178, 704790.048295 7061866.958328)"
4393,"LINESTRING (711435.211003 7057164.443607, 711428.178472 7057171.003397)"
4423,"LINESTRING (710835.892743 7056829.664361, 710831.107951 7056825.342926)"
4452,"LINESTRING (709154.102103 7056568.177113, 709156.728714 7056570.666192)"
4482,"LINESTRING (708823.798364 7057005.103861, 708821.593882 7057013.735898)"
4512,"LINESTRING (708079.660496 7057548.364982, 708054.221921 7057509.852684)"
4541,"LINESTRING (707866.935862 7057560.597506, 707860.726533 7057564.867571)"
4571,"LINESTRING (708079.351318 7057335.216642, 708054.044712 7057297.930335)"
4601,"LINESTRING (707977.605204 7057186.138329, 707976.10855 7057186.604186)"
4630,"LINESTRING (707942.943106 7057150.521811, 707943.001684 7057144.215174)"
4660,"LINESTRING (710079.347003 7057243.614097, 710079.367422 7057240.148774)"
4690,"LINESTRING (704765.263921 7059792.350063, 704748.617116 7059817.608232)"
4719,"LINESTRING (703972.42885 7059889.020626, 703978.045509 7059883.252537)"
4749,"LINESTRING (704230.18924 7061153.205214, 704224.564792 7061151.86378)"
4779,"LINESTRING (704478.838426 7060619.195763, 704473.045102 7060615.781334)"
4809,"LINESTRING (704076.333874 7059983.799854, 704072.538364 7059979.919318)"
4838,"LINESTRING (694500.017666 7055760.123891, 694502.841847 7055747.351923)"
4868,"LINESTRING (694723.517372 7055408.221937, 694726.547728 7055402.781614)"
4898,"LINESTRING (692726.878432 7056444.053474, 692733.623073 7056428.556631)"
4927,"LINESTRING (693558.014273 7056672.415537, 693599.675498 7056681.85006)"
4957,"LINESTRING (692043.097733 7055794.107598, 692041.187763 7055802.478266)"
4987,"LINESTRING (691901.473128 7054684.177555, 691899.772879 7054690.542241)"
5016,"LINESTRING (691789.453743 7055228.106849, 691789.860836 7055234.869649)"
5046,"LINESTRING (691773.206366 7055436.726598, 691765.573373 7055474.109314)"
5076,"LINESTRING (691748.223211 7055587.775961, 691749.373396 7055593.456884)"
5105,"LINESTRING (691726.605798 7055759.957915, 691729.482351 7055762.917547)"
5135,"LINESTRING (691898.391339 7055838.907045, 691904.480261 7055841.839838)"
5165,"LINESTRING (691997.64432 7055946.322203, 691995.559782 7055951.550986)"
5194,"LINESTRING (691988.102262 7056057.59317, 691990.661753 7056062.191343)"
5224,"LINESTRING (691959.163547 7056191.901342, 691955.682468 7056197.34387)"
5254,"LINESTRING (691914.230385 7056533.583925, 691915.100472 7056541.961847)"
5283,"LINESTRING (704082.678531 7060340.003223, 704078.215503 7060338.428794)"
5313,"LINESTRING (704111.581703 7060205.806149, 704123.158434 7060208.600432)"
5343,"LINESTRING (704149.326077 7060057.787504, 704146.76257 7060055.42328)"
5373,"LINESTRING (708187.372797 7054797.890942, 708174.092009 7054809.426079)"
5402,"LINESTRING (710113.176733 7056860.859725, 710117.427004 7056863.062492)"
5432,"LINESTRING (709813.289758 7057001.157225, 709830.755376 7056991.738944)"
5462,"LINESTRING (710447.923394 7057825.313635, 710447.781442 7057829.202179)"
5491,"LINESTRING (708748.345591 7057680.174004, 708750.605947 7057680.912955)"
5521,"LINESTRING (708742.886008 7057721.516025, 708740.688497 7057721.401166)"
5551,"LINESTRING (708922.874094 7057861.106202, 708925.655004 7057859.873793)"
5580,"LINESTRING (708951.422897 7057904.931547, 708950.79546 7057907.181375)"
5610,"LINESTRING (708917.835416 7057864.48556, 708920.255737 7057862.650867)"
5640,"LINESTRING (708996.080784 7058224.621825, 708996.573731 7058226.650603)"
5669,"LINESTRING (707999.594243 7058761.496215, 707978.112861 7058769.789263)"
5699,"LINESTRING (707892.359743 7058595.694529, 707891.323135 7058591.893363)"
5729,"LINESTRING (706009.406335 7059789.369228, 706033.466038 7059769.304294)"
5758,"LINESTRING (705193.03234 7060637.998637, 705195.033017 7060635.27043)"
5788,"LINESTRING (705056.22525 7061161.033586, 705062.199755 7061166.777736)"
5818,"LINESTRING (690059.84654 7060857.275073, 690114.605221 7060778.79706)"
5848,"LINESTRING (690355.223359 7060279.143161, 690364.499029 7060287.361917)"
5877,"LINESTRING (690520.323233 7060183.610027, 690529.327164 7060173.677452)"
5907,"LINESTRING (691891.278194 7057444.69107, 691901.615934 7057425.778161)"
5937,"LINESTRING (691764.287655 7057483.006638, 691761.369803 7057485.094609)"
5966,"LINESTRING (691660.70938 7057636.048625, 691640.239495 7057648.480968)"
5996,"LINESTRING (691760.000264 7057676.906689, 691763.466125 7057676.333311)"
6026,"LINESTRING (690863.2558 7059399.652759, 690865.222155 7059392.930351)"
6055,"LINESTRING (691113.601468 7058612.427888, 691124.09577 7058579.049605)"
6085,"LINESTRING (691177.402661 7058437.273271, 691181.072885 7058431.774084)"
6115,"LINESTRING (691838.736287 7057376.362675, 691817.686352 7057361.506825)"
6144,"LINESTRING (691513.679042 7057185.315238, 691502.247555 7057179.059283)"
6174,"LINESTRING (704380.149473 7061533.382604, 704388.943076 7061531.138559)"
6204,"LINESTRING (691986.704655 7057479.006768, 691965.021095 7057466.702921)"
6233,"LINESTRING (692059.183864 7057650.311259, 692064.401122 7057649.925009)"
6263,"LINESTRING (691867.174421 7057733.365997, 691863.580366 7057738.396578)"
6293,"LINESTRING (691780.549186 7057882.348004, 691778.222043 7057885.872522)"
6322,"LINESTRING (691758.910962 7057794.151793, 691761.461779 7057798.081414)"
6352,"LINESTRING (695829.848692 7061219.673911, 695839.443868 7061222.697719)"
6382,"LINESTRING (696572.50007 7061277.872051, 696599.67277 7061270.289227)"
6412,"LINESTRING (695454.446608 7057883.518693, 695450.979368 7057882.696949)"
6441,"LINESTRING (692304.118619 7057652.309137, 692297.54393 7057650.267925)"
6471,"LINESTRING (691063.240022 7056938.438634, 691055.469525 7056934.306001)"
6501,"LINESTRING (695483.554506 7057822.054227, 695487.378665 7057817.092639)"
6530,"LINESTRING (696566.38031 7057144.837025, 696565.187639 7057142.319528)"
6560,"LINESTRING (696696.951669 7057086.805801, 696694.442336 7057087.765545)"
6590,"LINESTRING (697717.421234 7058452.848087, 697708.242025 7058453.442406)"
6619,"LINESTRING (693380.415105 7058285.400068, 693379.801271 7058287.82992)"
6649,"LINESTRING (693341.770286 7058358.787705, 693339.754546 7058362.556366)"
6679,"LINESTRING (694102.185514 7058724.589103, 694103.931906 7058727.183545)"
6708,"LINESTRING (694083.173433 7058783.086822, 694082.737855 7058786.753281)"
6738,"LINESTRING (694204.664561 7058923.214881, 694208.755561 7058924.514362)"
6768,"LINESTRING (693275.691489 7058571.42684, 693273.853905 7058575.886177)"
6797,"LINESTRING (693170.749347 7058745.081245, 693167.643261 7058749.631318)"
6827,"LINESTRING (692977.32181 7058974.640737, 692969.018416 7058983.008323)"
6857,"LINESTRING (695512.774145 7057908.030181, 695537.71643 7057929.482264)"
6887,"LINESTRING (691121.406998 7058425.650726, 691090.159138 7058397.642805)"
6916,"LINESTRING (690983.082305 7058482.209897, 690968.343284 7058502.736439)"
6946,"LINESTRING (690867.767717 7058616.188735, 690860.958603 7058617.804417)"
6976,"LINESTRING (690787.769622 7058602.803578, 690781.564226 7058600.852657)"
7005,"LINESTRING (690623.574942 7058524.608456, 690587.514872 7058506.651042)"
7035,"LINESTRING (704203.500802 7062443.912684, 704249.253073 7062442.532046)"
7065,"LINESTRING (703891.399935 7065723.603149, 703894.053009 7065725.922923)"
7094,"LINESTRING (704488.937315 7057833.575944, 704493.664821 7057834.78315)"
7124,"LINESTRING (710425.156949 7057061.720083, 710427.154038 7057055.361373)"
7154,"LINESTRING (702046.367912 7061604.918968, 702050.185118 7061608.408207)"
7183,"LINESTRING (701913.156876 7061676.656749, 701923.517954 7061665.505888)"
7213,"LINESTRING (703636.172922 7064713.669235, 703636.242183 7064716.042893)"
7243,"LINESTRING (700997.41553 7065747.935118, 701005.459163 7065738.319394)"
7272,"LINESTRING (702279.603359 7065922.489979, 702263.447822 7065908.564678)"
7302,"LINESTRING (702184.876189 7065824.396999, 702179.653184 7065820.98493)"
7332,"LINESTRING (702019.144324 7065699.244621, 702010.143114 7065689.412483)"
7361,"LINESTRING (701893.114116 7065592.230578, 701885.810446 7065585.686667)"
7391,"LINESTRING (701740.201925 7065473.632652, 701703.658724 7065446.731322)"
7421,"LINESTRING (701643.975498 7065360.125919, 701640.259957 7065355.81217)"
7451,"LINESTRING (701473.392608 7065195.729482, 701464.764408 7065187.614532)"
7480,"LINESTRING (703815.604287 7065317.524871, 703816.315344 7065313.000967)"
7510,"LINESTRING (703789.591844 7065121.543436, 703789.154014 7065119.882716)"
7540,"LINESTRING (702878.077081 7065344.031915, 702874.105608 7065343.61755)"
7569,"LINESTRING (703645.624435 7065399.039929, 703649.599639 7065393.593191)"
7599,"LINESTRING (703084.942671 7065488.599707, 703081.863723 7065487.472481)"
7629,"LINESTRING (703293.395894 7065443.608377, 703322.986756 7065398.604813)"
7658,"LINESTRING (703688.749419 7066230.881584, 703690.103132 7066228.285937)"
7688,"LINESTRING (708053.781338 7063609.583387, 708050.240569 7063594.712769)"
7718,"LINESTRING (702632.962333 7065681.01236, 702643.90154 7065692.172536)"
7747,"LINESTRING (702860.598776 7065894.7302, 702864.20508 7065902.465915)"
7777,"LINESTRING (703365.506832 7065504.296094, 703353.957936 7065519.946254)"
7807,"LINESTRING (702686.994123 7065586.136945, 702673.033331 7065601.609068)"
7836,"LINESTRING (702710.765278 7065705.588351, 702714.312187 7065705.110886)"
7866,"LINESTRING (702763.772588 7065594.498838, 702767.385841 7065588.861835)"
7896,"LINESTRING (702965.787886 7065435.613142, 702967.589914 7065441.743207)"
7925,"LINESTRING (702896.694175 7065567.25255, 702893.47064 7065571.931299)"
7955,"LINESTRING (702891.577901 7065713.713691, 702893.540421 7065710.650141)"
7985,"LINESTRING (703003.329058 7065820.742738, 703012.401751 7065812.523429)"
8015,"LINESTRING (702825.455602 7065635.026459, 702819.8684 7065638.288789)"
8044,"LINESTRING (702772.674385 7065702.487288, 702771.863422 7065710.421323)"
8074,"LINESTRING (702822.224104 7065795.886647, 702827.892395 7065799.945886)"
8104,"LINESTRING (702899.913312 7065803.047355, 702904.54501 7065799.227406)"
8133,"LINESTRING (703677.167237 7064898.971854, 703671.391705 7064896.037252)"
8163,"LINESTRING (703124.827742 7065173.162693, 703107.91934 7065201.636809)"
8193,"LINESTRING (703338.165549 7064935.923586, 703345.317794 7064921.964733)"
8222,"LINESTRING (703202.175321 7064864.15628, 703197.744583 7064861.52382)"
8252,"LINESTRING (703081.863124 7064795.042039, 703077.686118 7064794.315395)"
8282,"LINESTRING (703152.704592 7064890.928881, 703149.111177 7064897.568531)"
8311,"LINESTRING (701758.226708 7061868.638162, 701789.042364 7061824.275323)"
8341,"LINESTRING (711381.310732 7067361.831373, 711386.875208 7067364.394717)"
8371,"LINESTRING (712002.499951 7066626.283957, 712059.09115 7066592.505635)"
8400,"LINESTRING (711978.013119 7066073.166288, 711969.70441 7066072.346124)"
8430,"LINESTRING (711805.431577 7066107.323083, 711768.752223 7066116.19433)"
8460,"LINESTRING (711549.369601 7066167.288674, 711545.806091 7066168.718883)"
8490,"LINESTRING (707403.138287 7063682.176027, 707407.2567 7063700.612962)"
8519,"LINESTRING (707114.010703 7063019.8417, 707161.811714 7063058.169428)"
8549,"LINESTRING (702882.258944 7064922.620616, 702885.460528 7064920.025773)"
8579,"LINESTRING (703835.980978 7064923.472246, 703834.080829 7064927.34897)"
8608,"LINESTRING (703734.812138 7065230.860626, 703720.732655 7065259.412809)"
8638,"LINESTRING (703664.985484 7065293.520616, 703659.090385 7065289.99531)"
