zone_id,P_i,is_vulnerable,in_model_sample,geometry_wkt
66,26.0,False,False,"POLYGON ((687551.328921 7054972.206101, 687532.32639 7055171.478682, 687731.888731 7055190.639181, 687750.890793 7054991.366385, 687551.328921 7054972.206101))"
67,2.0,False,False,"POLYGON ((687750.890793 7054991.366385, 687731.888731 7055190.639181, 687931.451045 7055209.799135, 687950.452638 7055010.526124, 687750.890793 7054991.366385))"
68,4.0,False,False,"POLYGON ((687370.769565 7054753.773301, 687351.767022 7054953.045273, 687551.328921 7054972.206101, 687570.330995 7054772.933915, 687370.769565 7054753.773301))"
69,2.0,False,False,"POLYGON ((687969.453773 7054811.253507, 687950.452638 7055010.526124, 688150.014455 7055029.685318, 688169.015121 7054830.412485, 687969.453773 7054811.253507))"
70,1.0,True,False,"POLYGON ((688188.015328 7054631.140047, 688169.015121 7054830.412485, 688368.576442 7054849.570919, 688387.57618 7054650.298265, 688188.015328 7054631.140047))"
71,6.0,False,False,"POLYGON ((688169.015121 7054830.412485, 688150.014455 7055029.685318, 688349.576246 7055048.843967, 688368.576442 7054849.570919, 688169.015121 7054830.412485))"
72,1.0,True,False,"POLYGON ((688207.015078 7054431.868002, 688188.015328 7054631.140047, 688387.57618 7054650.298265, 688406.575461 7054451.026005, 688207.015078 7054431.868002))"
73,2.0,False,False,"POLYGON ((687684.333815 7053577.309058, 687665.33449 7053776.578885, 687864.893548 7053795.737877, 687883.892404 7053596.467835, 687684.333815 7053577.309058))"
74,14.0,False,False,"POLYGON ((687703.332682 7053378.039623, 687684.333815 7053577.309058, 687883.892404 7053596.467835, 687902.890803 7053397.198185, 687703.332682 7053378.039623))"
75,19.0,False,False,"POLYGON ((687503.774532 7053358.880517, 687484.775197 7053558.149736, 687684.333815 7053577.309058, 687703.332682 7053378.039623, 687503.774532 7053358.880517))"
76,4.0,False,False,"POLYGON ((687484.775197 7053558.149736, 687465.775404 7053757.419348, 687665.33449 7053776.578885, 687684.333815 7053577.309058, 687484.775197 7053558.149736))"
77,1.0,False,False,"POLYGON ((687665.33449 7053776.578885, 687646.334707 7053975.849105, 687845.894234 7053995.008312, 687864.893548 7053795.737877, 687665.33449 7053776.578885))"
78,17.0,False,False,"POLYGON ((686829.09421 7054098.47658, 686810.091636 7054297.746724, 687009.65221 7054316.908541, 687028.654315 7054117.638181, 686829.09421 7054098.47658))"
79,6.0,False,False,"POLYGON ((687247.215571 7053937.529056, 687228.214393 7054136.799238, 687427.774443 7054155.95975, 687446.775153 7053956.689353, 687247.215571 7053937.529056))"
80,2.0,False,False,"POLYGON ((687104.658152 7053320.56067, 687085.65788 7053519.829459, 687285.216553 7053538.98987, 687304.216356 7053339.720866, 687104.658152 7053320.56067))"
81,1.0,False,False,"POLYGON ((686667.538787 7053680.775755, 686648.536662 7053880.044898, 686848.096326 7053899.206829, 686867.097982 7053699.93747, 686667.538787 7053680.775755))"
82,6.0,False,False,"POLYGON ((686648.536662 7053880.044898, 686629.534078 7054079.314434, 686829.09421 7054098.47658, 686848.096326 7053899.206829, 686648.536662 7053880.044898))"
83,9.5,False,False,"POLYGON ((686629.534078 7054079.314434, 686610.531035 7054278.584362, 686810.091636 7054297.746724, 686829.09421 7054098.47658, 686629.534078 7054079.314434))"
84,5.0,False,False,"POLYGON ((686429.973918 7054060.151743, 686410.970406 7054259.421456, 686610.531035 7054278.584362, 686629.534078 7054079.314434, 686429.973918 7054060.151743))"
85,14.0,False,False,"POLYGON ((686410.970406 7054259.421456, 686391.966435 7054458.691562, 686591.527533 7054477.854684, 686610.531035 7054278.584362, 686410.970406 7054259.421456))"
86,11.0,False,True,"POLYGON ((686591.527533 7054477.854684, 686572.523572 7054677.125399, 686772.085112 7054696.288192, 686791.088603 7054497.017261, 686591.527533 7054477.854684))"
87,18.5,False,False,"POLYGON ((686572.523572 7054677.125399, 686553.519153 7054876.396508, 686753.081161 7054895.559516, 686772.085112 7054696.288192, 686572.523572 7054677.125399))"
88,5.0,False,False,"POLYGON ((686810.091636 7054297.746724, 686791.088603 7054497.017261, 686990.649646 7054516.179294, 687009.65221 7054316.908541, 686810.091636 7054297.746724))"
89,5.0,False,False,"POLYGON ((687171.208108 7054734.612143, 687152.205096 7054933.883899, 687351.767022 7054953.045273, 687370.769565 7054753.773301, 687171.208108 7054734.612143))"
90,39.0,False,False,"POLYGON ((686971.646623 7054715.45044, 686952.643142 7054914.72198, 687152.205096 7054933.883899, 687171.208108 7054734.612143, 686971.646623 7054715.45044))"
91,21.0,False,False,"POLYGON ((686990.649646 7054516.179294, 686971.646623 7054715.45044, 687171.208108 7054734.612143, 687190.210661 7054535.340781, 686990.649646 7054516.179294))"
92,7.0,False,False,"POLYGON ((686791.088603 7054497.017261, 686772.085112 7054696.288192, 686971.646623 7054715.45044, 686990.649646 7054516.179294, 686791.088603 7054497.017261))"
93,40.5,False,False,"POLYGON ((686772.085112 7054696.288192, 686753.081161 7054895.559516, 686952.643142 7054914.72198, 686971.646623 7054715.45044, 686772.085112 7054696.288192))"
94,25.0,False,False,"POLYGON ((686952.643142 7054914.72198, 686933.639202 7055113.993914, 687133.201625 7055133.156049, 687152.205096 7054933.883899, 686952.643142 7054914.72198))"
95,29.0,False,False,"POLYGON ((687133.201625 7055133.156049, 687114.197696 7055332.428593, 687313.760561 7055351.590397, 687332.764021 7055152.317638, 687133.201625 7055133.156049))"
96,4.0,False,True,"POLYGON ((686933.639202 7055113.993914, 686914.634803 7055313.266243, 687114.197696 7055332.428593, 687133.201625 7055133.156049, 686933.639202 7055113.993914))"
97,8.0,False,False,"POLYGON ((686553.519153 7054876.396508, 686534.514274 7055075.668011, 686734.076752 7055094.831235, 686753.081161 7054895.559516, 686553.519153 7054876.396508))"
98,1.0,False,False,"POLYGON ((686334.951769 7055056.504241, 686315.945961 7055255.775922, 686515.508936 7055274.939908, 686534.514274 7055075.668011, 686334.951769 7055056.504241))"
99,23.0,False,False,"POLYGON ((686135.389236 7055037.339927, 686116.382959 7055236.611392, 686315.945961 7055255.775922, 686334.951769 7055056.504241, 686135.389236 7055037.339927))"
100,2.0,False,False,"POLYGON ((685935.826676 7055018.175068, 685916.81993 7055217.446317, 686116.382959 7055236.611392, 686135.389236 7055037.339927, 685935.826676 7055018.175068))"
